"","depth_mm","Ti"
"X456",53,26.887323943662
"X457",53.1,27.9148936170213
"X458",53.2,25.2805755395683
"X459",53.3,23.625
"X460",53.4,24.455223880597
"X461",53.5,23.5524475524476
"X462",53.6,21.5251798561151
"X463",53.7,20.4475524475524
"X464",53.8,21.4755244755245
"X465",53.9,23.5724637681159
"X466",54,20.1428571428571
"X467",54.1,21.9029850746269
"X468",54.2,23.4848484848485
"X469",54.3,21.1818181818182
"X470",54.4,21.9103448275862
"X471",54.5,21.5714285714286
"X472",54.6,22.0551181102362
"X473",54.7,20.2971014492754
"X474",54.8,18.5352112676056
"X475",54.9,20.3538461538462
"X476",55,19.273381294964
"X477",55.1,18.25
"X478",55.2,16.2985074626866
"X479",55.3,15.2666666666667
"X480",55.4,13.9020979020979
"X481",55.5,14.273381294964
"X482",55.6,15.0072463768116
"X483",55.7,12.1824817518248
"X484",55.8,11.3357664233577
"X485",55.9,11.6811594202899
"X486",56,12.3061224489796
"X487",56.1,13.2405660377358
"X488",56.2,12.743119266055
"X489",56.3,12.3888888888889
"X490",56.4,12.5183486238532
"X491",56.5,11.6682926829268
"X492",56.6,12.188679245283
"X493",56.7,13.7170731707317
"X494",56.8,10.9512195121951
"X495",56.9,10.009900990099
"X496",57,10.1596244131455
"X497",57.1,8.23963133640553
"X498",57.2,8.34418604651163
"X499",57.3,8.40825688073394
"X500",57.4,8.90047393364929
"X501",57.5,8.99521531100478
"X502",57.6,9.46511627906977
"X503",57.7,9.17788461538461
"X504",57.8,9.49537037037037
"X505",57.9,10.1531531531532
"X506",58,9.45205479452055
"X507",58.1,11.0935960591133
"X508",58.2,12.9130434782609
"X509",58.3,10.4266055045872
"X510",58.4,10.647619047619
"X511",58.5,11.3705357142857
"X512",58.6,11.4106280193237
"X513",58.7,10.4697674418605
"X514",58.8,11.3672566371681
"X515",58.9,11.8858447488584
"X516",59,12.96
"X517",59.1,14.2651162790698
"X518",59.2,16.3644859813084
"X519",59.3,16.1351351351351
"X520",59.4,17.6244131455399
"X521",59.5,16.372197309417
"X522",59.6,18.2122641509434
"X523",59.7,19.1898148148148
"X524",59.8,16.8617511520737
"X525",59.9,12.0718232044199
"X526",60,8.15625
"X527",60.1,21.0257731958763
"X528",60.2,23.8010471204188
"X529",60.3,23.1813471502591
"X530",60.4,23.4502617801047
"X531",60.5,23.1727748691099
"X532",60.6,23.9226804123711
"X533",60.7,24.219387755102
"X534",60.8,23.1145833333333
"X535",60.9,20.9949748743719
"X536",61,20.9132653061224
"X537",61.1,20.6666666666667
"X538",61.2,20.3366834170854
"X539",61.3,21.2135416666667
"X540",61.4,20.0904522613065
"X541",61.5,20.3131313131313
"X542",61.6,20.825
"X543",61.7,21.6326530612245
"X544",61.8,21.2713567839196
"X545",61.9,21.3585858585859
"X546",62,22.251256281407
"X547",62.1,23.435
"X548",62.2,22.235
"X549",62.3,23.8663366336634
"X550",62.4,23.7832512315271
"X551",62.5,26.9261083743842
"X552",62.6,26.525
"X553",62.7,23.9655172413793
"X554",62.8,26.7222222222222
"X555",62.9,25.5505050505051
"X556",63,25.465
"X557",63.1,25.7035175879397
"X558",63.2,24.2666666666667
"X559",63.3,23.3128205128205
"X560",63.4,22.1206030150754
"X561",63.5,23.6288659793814
"X562",63.6,21.9479166666667
"X563",63.7,22.1413612565445
"X564",63.8,19.0273224043716
"X565",63.9,18.2239583333333
"X566",64,18.1595744680851
"X567",64.1,17.804469273743
"X568",64.2,15.7914438502674
"X569",64.3,16.4232804232804
"X570",64.4,15.3817204301075
"X571",64.5,14.7126436781609
"X572",64.6,13.6393442622951
"X573",64.7,14.8324607329843
"X574",64.8,15.5869565217391
"X575",64.9,14.5159574468085
"X576",65,14.2771739130435
"X577",65.1,15.2065217391304
"X578",65.2,13.6516853932584
"X579",65.3,13.8882978723404
"X580",65.4,14.5934065934066
"X581",65.5,14.353591160221
"X582",65.6,13.7608695652174
"X583",65.7,13.8152173913043
"X584",65.8,12.2994652406417
"X585",65.9,12.2486486486486
"X586",66,12.1436464088398
"X587",66.1,12.2340425531915
"X588",66.2,12.438202247191
"X589",66.3,11.9840425531915
"X590",66.4,12.3519553072626
"X591",66.5,10.8876404494382
"X592",66.6,10.4775280898876
"X593",66.7,10.6648648648649
"X594",66.8,10.4888888888889
"X595",66.9,10.5459459459459
"X596",67,11.1550802139037
"X597",67.1,13.125
"X598",67.2,11.3617021276596
"X599",67.3,10.5783783783784
"X600",67.4,10.2251308900524
"X601",67.5,10.4684210526316
"X602",67.6,10.7900552486188
"X603",67.7,10.7611111111111
"X604",67.8,10.6229508196721
"X605",67.9,10.6022099447514
"X606",68,10.4673913043478
"X607",68.1,9.60655737704918
"X608",68.2,9.62983425414365
"X609",68.3,9.65217391304348
"X610",68.4,10.1156069364162
"X611",68.5,9.21546961325967
"X612",68.6,8.59550561797753
"X613",68.7,9.16201117318436
"X614",68.8,9.78212290502793
"X615",68.9,10.8994413407821
"X616",69,10.6187845303867
"X617",69.1,11.3548387096774
"X618",69.2,12.372972972973
"X619",69.3,12.8100558659218
"X620",69.4,10.6609195402299
"X621",69.5,11.6971428571429
"X622",69.6,12.0110497237569
"X623",69.7,12.3494623655914
"X624",69.8,10.5923913043478
"X625",69.9,10.9447513812155
"X626",70,10.8924731182796
"X627",70.1,10.7365591397849
"X628",70.2,11.0105263157895
"X629",70.3,11.1075268817204
"X630",70.4,11.7292817679558
"X631",70.5,12.5416666666667
"X632",70.6,12.1578947368421
"X633",70.7,12.520618556701
"X634",70.8,11.8297872340426
"X635",70.9,10.6446700507614
"X636",71,10.4708994708995
"X637",71.1,12.4869109947644
"X638",71.2,12.2275132275132
"X639",71.3,10.6907216494845
"X640",71.4,12.0691489361702
"X641",71.5,11.3717277486911
"X642",71.6,11.7794871794872
"X643",71.7,12.2083333333333
"X644",71.8,12.7282051282051
"X645",71.9,12.0666666666667
"X646",72,12.1282051282051
"X647",72.1,13.5625
"X648",72.2,12.3834196891192
"X649",72.3,13.5663265306122
"X650",72.4,12.2433862433862
"X651",72.5,12.2934782608696
"X652",72.6,12.1297297297297
"X653",72.7,12.668449197861
"X654",72.8,12.0797872340426
"X655",72.9,13.8010204081633
"X656",73,13.7849462365591
"X657",73.1,13.2461538461538
"X658",73.2,13.3299492385787
"X659",73.3,14.2030456852792
"X660",73.4,12.1173469387755
"X661",73.5,13.1306532663317
