"","depth_mm","Ca"
"2156",210.775,470.739130434783
"2157",210.875,459.760869565217
"2158",210.975,459.991304347826
"2159",211.075,466.786956521739
"2160",211.175,472.747826086957
"2161",211.275,477.091304347826
"2162",211.375,476.439130434783
"2163",211.475,471.565217391304
"2164",211.575,459.85652173913
"2165",211.675,468.282608695652
"2166",211.775,461.85652173913
"2167",211.875,487.265217391304
"2168",211.975,494.478260869565
"2169",212.075,464.665217391304
"2170",212.175,461.395652173913
"2171",212.275,465.830434782609
"2172",212.375,465.008695652174
"2173",212.475,465.052173913043
"2174",212.575,457.816593886463
"2175",212.675,467.395652173913
"2176",212.775,467.360869565217
"2177",212.875,470.4
"2178",212.975,477.04347826087
"2179",213.075,450.226086956522
"2180",213.175,448.152173913043
"2181",213.275,445.069565217391
"2182",213.375,445.473913043478
"2183",213.475,455.513043478261
"2184",213.575,459.369565217391
"2185",213.675,465.169565217391
"2186",213.775,464.15652173913
"2187",213.875,465.25652173913
"2188",213.975,468.330434782609
"2189",214.075,460.095652173913
"2190",214.175,476.373913043478
"2191",214.275,486.208695652174
"2192",214.375,497.730434782609
"2193",214.475,517.539130434783
"2194",214.575,510.308695652174
"2195",214.675,485.404347826087
"2196",214.775,481.165217391304
"2197",214.875,487.55652173913
"2198",214.975,495.917391304348
"2199",215.075,489.469565217391
"2200",215.175,485.752173913043
"2201",215.275,478.204347826087
"2202",215.375,465.478260869565
"2203",215.475,469.091304347826
"2204",215.575,471.695652173913
"2205",215.675,478.273913043478
"2206",215.775,472.030434782609
"2207",215.875,477.669565217391
"2208",215.975,489.365217391304
"2209",216.075,474.452173913043
"2210",216.175,484.969565217391
"2211",216.275,478.917391304348
"2212",216.375,472.239130434783
"2213",216.475,482.75652173913
"2214",216.575,472.865217391304
"2215",216.675,484.947826086957
"2216",216.775,487.439130434783
"2217",216.875,479.913043478261
"2218",216.975,478.6
"2219",217.075,485.791304347826
"2220",217.175,479.317391304348
"2221",217.275,487.917391304348
"2222",217.375,492.617391304348
