metres,GR,helper
202.692,8.2916,1
202.8444,7.7616,1
202.9968,8.1146,1
203.1492,8.4429,1
203.3016,8.0346,1
203.454,8.059,1
203.6064,7.7503,1
203.7588,8.5325,1
203.9112,9.0537,1
204.0636,8.7701,1
204.216,9.3724,1
204.3684,9.8804,1
204.5208,10.1304,1
204.6732,10.1586,1
204.8256,9.8497,1
204.978,8.9673,1
205.1304,8.0532,1
205.2828,8.2499,1
205.4352,8.6806,1
205.5876,8.5702,1
205.74,8.7646,1
205.8924,9.3269,1
206.0448,9.523,1
206.1972,8.9234,1
206.3496,7.1235,1
206.502,7.1529,1
206.6544,7.1366,1
206.8068,7.4387,1
206.9592,8.7346,1
207.1116,9.1162,1
207.264,9.3031,1
207.4164,9.4839,1
207.5688,9.7192,1
207.7212,9.9736,1
207.8736,10.2211,1
208.026,10.8645,1
208.1784,11.4746,1
208.3308,11.9638,1
208.4832,11.8443,1
208.6356,10.819,1
208.788,11.2062,1
208.9404,11.4172,1
209.0928,10.8366,1
209.2452,10.0257,1
209.3976,9.978,1
209.55,9.9443,1
209.7024,9.8826,1
209.8548,10.038,1
210.0072,10.0492,1
210.1596,9.4561,1
210.312,9.189,1
210.4644,8.5907,1
210.6168,8.1185,1
210.7692,8.3332,1
210.9216,9.136,1
211.074,8.7735,1
211.2264,8.6716,1
211.3788,8.3229,1
211.5312,7.8805,1
211.6836,8.2302,1
211.836,8.3705,1
211.9884,7.9223,1
212.1408,8.1732,1
212.2932,8.6115,1
212.4456,7.736,1
212.598,7.9122,1
212.7504,8.4724,1
212.9028,8.7981,1
213.0552,8.4559,1
213.2076,7.5863,1
213.36,7.8239,1
213.5124,8.4552,1
213.6648,9.4021,1
213.8172,10.6784,1
213.9696,12.8602,1
214.122,14.0994,1
214.2744,15.6433,1
214.4268,18.2437,1
214.5792,20.6059,1
214.7316,21.9784,1
214.884,22.0836,1
215.0364,19.86,1
215.1888,19.3515,1
215.3412,18.7703,1
215.4936,17.996,1
215.646,17.2598,1
215.7984,14.9471,1
215.9508,12.9413,1
216.1032,10.8699,1
216.2556,10.1981,1
216.408,10.8621,1
216.5604,11.752,1
216.7128,11.2499,1
216.8652,9.6026,1
217.0176,9.0892,1
217.17,9.1201,1
217.3224,8.0815,1
217.4748,7.4367,1
217.6272,7.5085,1
217.7796,7.7588,1
217.932,8.8663,1
218.0844,10.2512,1
218.2368,10.0348,1
218.3892,11.4933,1
218.5416,12.9219,1
218.694,12.6723,1
218.8464,10.7393,1
218.9988,9.9513,1
219.1512,9.5522,1
219.3036,9.012,1
219.456,8.9817,1
219.6084,9.4063,1
219.7608,8.888,1
219.9132,9.3993,1
220.0656,10.5331,2
220.218,10.6555,2
220.3704,9.4079,2
220.5228,8.7743,2
220.6752,8.9098,2
220.8276,9.3302,2
220.98,10.0117,2
221.1324,10.2393,2
221.2848,9.8357,2
221.4372,9.0785,2
221.5896,8.3142,2
221.742,7.9071,2
221.8944,8.4527,2
222.0468,8.4879,2
222.1992,7.9128,2
222.3516,8.0984,2
222.504,7.6905,2
222.6564,8.1366,2
222.8088,8.4455,2
222.9612,7.4543,2
223.1136,7.3082,2
223.266,8.1494,2
223.4184,8.8845,2
223.5708,8.8758,2
223.7232,7.5726,2
223.8756,6.6987,2
224.028,6.2249,2
224.1804,6.7176,2
224.3328,7.4349,2
224.4852,7.5254,2
224.6376,7.105,2
224.79,7.1371,2
224.9424,8.0348,2
225.0948,8.2349,2
225.2472,7.6609,2
225.3996,7.4456,2
225.552,8.144,2
225.7044,7.9161,2
225.8568,7.1514,2
226.0092,6.929,2
226.1616,7.0894,2
226.314,7.7019,2
226.4664,8.9853,2
226.6188,9.9904,2
226.7712,10.6767,2
226.9236,11.0474,2
227.076,11.2851,2
227.2284,10.8371,2
227.3808,11.9315,2
227.5332,11.743,2
227.6856,11.3227,2
227.838,10.8188,2
227.9904,9.9631,2
228.1428,7.8278,2
228.2952,7.2431,2
228.4476,7.0762,2
228.6,8.6608,2
228.7524,8.4834,2
228.9048,8.7948,2
229.0572,9.1625,2
229.2096,8.3107,2
229.362,7.67,2
229.5144,7.9566,2
229.6668,8.1852,2
229.8192,8.4356,2
229.9716,9.4439,2
230.124,10.96,2
230.2764,10.9797,2
230.4288,10.3104,2
230.5812,11.1898,2
230.7336,12.2605,2
230.886,11.5117,2
231.0384,11.4266,2
231.1908,11.3178,2
231.3432,10.8018,2
231.4956,9.8943,2
231.648,9.6095,2
231.8004,9.2215,2
231.9528,8.4251,2
232.1052,8.6188,2
232.2576,8.0556,2
