"","depth_mm","Mn"
"163",15.39,30.6353591160221
"164",15.485,30.8674033149171
"165",15.58,32.1933701657459
"166",15.675,32.3812154696133
"167",15.77,33.4806629834254
"168",15.865,32.6243093922652
"169",15.96,33.878453038674
"170",16.055,33.5690607734807
"171",16.15,33.3204419889503
"172",16.245,35.3425414364641
"173",16.34,33.8011049723757
"174",16.435,32.7127071823204
"175",16.53,33.4696132596685
"176",16.625,33.878453038674
"177",16.72,35.3314917127072
"178",16.815,34.828729281768
"179",16.91,35.939226519337
"180",17.005,36.0220994475138
"181",17.1,36.1436464088398
"182",17.195,37.0497237569061
"183",17.29,37.7734806629834
"184",17.385,38.8232044198895
"185",17.48,37.828729281768
"186",17.575,36.9613259668508
"187",17.67,37.2209944751381
"188",17.765,37.2430939226519
"189",17.86,36.8176795580111
"190",17.955,37.5580110497238
"191",18.05,39.4696132596685
"192",18.145,37.414364640884
"193",18.24,38.3149171270718
"194",18.335,38.8176795580111
"195",18.43,39.1933701657459
"196",18.525,38.3867403314917
"197",18.62,39.4696132596685
"198",18.715,39.3701657458564
"199",18.81,38.8729281767956
"200",18.905,39.2099447513812
"201",19,40.4806629834254
"202",19.095,40.2430939226519
"203",19.19,40.6132596685083
"204",19.285,40.6850828729282
"205",19.38,40.8839779005525
"206",19.475,41.7182320441989
"207",19.57,42.4088397790055
"208",19.665,43.1049723756906
"209",19.76,41.8232044198895
"210",19.855,41.7955801104972
"211",19.95,41.8674033149171
"212",20.045,40.6629834254144
"213",20.14,40.7292817679558
"214",20.235,41.7845303867403
"215",20.33,40.5303867403315
"216",20.425,40.3922651933702
"217",20.52,40.8950276243094
"218",20.615,39.8232044198895
"219",20.71,40.1657458563536
"220",20.805,39.8232044198895
"221",20.9,39.6685082872928
"222",20.995,40.8011049723757
"223",21.09,41.1988950276243
"224",21.185,41.4254143646409
"225",21.28,39.292817679558
"226",21.375,39.2375690607735
"227",21.47,39.3370165745856
"228",21.565,39.4475138121547
"229",21.66,39.1933701657459
"230",21.755,39.5635359116022
"231",21.85,38.9779005524862
"232",21.945,38.9723756906077
"233",22.04,38.7734806629834
"234",22.135,38.1325966850829
"235",22.23,37.5745856353591
"236",22.325,37.1049723756906
"237",22.42,38.0276243093923
"238",22.515,37.7403314917127
"239",22.61,37.1767955801105
"240",22.705,37.0939226519337
"241",22.8,38.1491712707182
"242",22.895,37.232044198895
"243",22.99,37.7016574585635
"244",23.085,35.2375690607735
"245",23.18,35.4309392265193
"246",23.275,36.0994475138122
"247",23.37,36.1436464088398
"248",23.465,35.9613259668508
"249",23.56,36.7016574585635
"250",23.655,34.5635359116022
"251",23.75,34.7292817679558
"252",23.845,35.2430939226519
"253",23.94,35.9502762430939
"254",24.035,35.7237569060773
"255",24.13,35.9668508287293
"256",24.225,34.6850828729282
"257",24.32,33.9889502762431
"258",24.415,34.5745856353591
"259",24.51,34.232044198895
"260",24.605,33.6243093922652
"261",24.7,34.1602209944751
"262",24.795,32.646408839779
"263",24.89,32.585635359116
"264",24.985,32.1491712707182
"265",25.08,32.5690607734807
"266",25.175,33.060773480663
"267",25.27,31.6961325966851
"268",25.365,32.0828729281768
"269",25.46,31.7127071823204
"270",25.555,32.1767955801105
"271",25.65,31.767955801105
"272",25.745,32.2872928176796
"273",25.84,32.8011049723757
"274",25.935,31.5524861878453
"275",26.03,31.2154696132597
"276",26.125,32.3977900552486
"277",26.22,33.0276243093923
"278",26.315,32.9281767955801
"279",26.41,32.5193370165746
"280",26.505,32.121546961326
"281",26.6,31.3149171270718
"282",26.695,31.3259668508287
"283",26.79,31.5359116022099
"284",26.885,30.6906077348066
"285",26.98,31.3591160220994
"286",27.075,31.5303867403315
"287",27.17,30.3922651933702
"288",27.265,30.0331491712707
"289",27.36,31.475138121547
"290",27.455,30.3977900552486
"291",27.55,31.1823204419889
"292",27.645,30.5082872928177
"293",27.74,31.3314917127072
"294",27.835,31.7458563535912
"295",27.93,31.6353591160221
"296",28.025,31.2707182320442
"297",28.12,30.4475138121547
"298",28.215,31.2872928176796
"299",28.31,31.6353591160221
"300",28.405,32.2154696132597
"301",28.5,32.1657458563536
"302",28.595,32.0994475138122
"303",28.69,32.1381215469613
"304",28.785,31.6187845303867
"305",28.88,31.8121546961326
"306",28.975,30.9337016574586
"307",29.07,32.0883977900552
"308",29.165,31.3425414364641
"309",29.26,31.1491712707182
"310",29.355,31.3038674033149
"311",29.45,30.8508287292818
"312",29.545,30.9613259668508
"313",29.64,31.0110497237569
"314",29.735,31.0276243093923
"315",29.83,31.121546961326
"316",29.925,31
"317",30.02,31.6132596685083
"318",30.115,31.4640883977901
"319",30.21,32.1602209944751
