"","depth_mm","Si"
"X687",68.6,2.49122807017544
"X688",68.7,2.42307692307692
"X689",68.8,2.36086956521739
"X690",68.9,2.26666666666667
"X691",69,2.19047619047619
"X692",69.1,2.39565217391304
"X693",69.2,2.36681222707424
"X694",69.3,2.31330472103004
"X695",69.4,2.20851063829787
"X696",69.5,2.38362068965517
"X697",69.6,2.34468085106383
"X698",69.7,2.07659574468085
"X699",69.8,2.38427947598253
"X700",69.9,2.44541484716157
"X701",70,2.25847457627119
"X702",70.1,2.33476394849785
"X703",70.2,2.45106382978723
"X704",70.3,2.32203389830508
"X705",70.4,2.33766233766234
"X706",70.5,2.30508474576271
"X707",70.6,2.40336134453782
"X708",70.7,2.37931034482759
"X709",70.8,2.29661016949153
"X710",70.9,2.34361233480176
"X711",71,2.30084745762712
"X712",71.1,2.41921397379913
"X713",71.2,2.38559322033898
"X714",71.3,2.31277533039648
"X715",71.4,2.56444444444444
"X716",71.5,2.38528138528139
"X717",71.6,2.31932773109244
"X718",71.7,2.28318584070796
"X719",71.8,2.23305084745763
"X720",71.9,2.47555555555556
"X721",72,2.35398230088496
"X722",72.1,2.40692640692641
"X723",72.2,2.48571428571429
"X724",72.3,2.41125541125541
"X725",72.4,2.38961038961039
"X726",72.5,2.31739130434783
"X727",72.6,2.33898305084746
"X728",72.7,2.47083333333333
"X729",72.8,2.46913580246914
"X730",72.9,2.31759656652361
"X731",73,2.3859649122807
"X732",73.1,2.66803278688525
"X733",73.2,2.2880658436214
"X734",73.3,2.38793103448276
"X735",73.4,2.57079646017699
"X736",73.5,2.28085106382979
"X737",73.6,2.43589743589744
"X738",73.7,2.36708860759494
"X739",73.8,2.50649350649351
"X740",73.9,2.43303571428571
"X741",74,2.21610169491525
"X742",74.1,2.39316239316239
"X743",74.2,2.48347107438017
"X744",74.3,2.39748953974895
"X745",74.4,2.37394957983193
"X746",74.5,2.32467532467532
"X747",74.6,2.44855967078189
"X748",74.7,2.41025641025641
"X749",74.8,2.32244897959184
"X750",74.9,2.45643153526971
"X751",75,2.54621848739496
"X752",75.1,2.58403361344538
"X753",75.2,2.54042553191489
"X754",75.3,2.5375
"X755",75.4,2.41350210970464
"X756",75.5,2.45333333333333
"X757",75.6,2.54700854700855
"X758",75.7,2.45726495726496
"X759",75.8,2.32780082987552
"X760",75.9,2.41350210970464
"X761",76,2.41525423728814
"X762",76.1,2.4235807860262
"X763",76.2,2.42616033755274
"X764",76.3,2.53679653679654
"X765",76.4,2.38655462184874
"X766",76.5,2.46902654867257
"X767",76.6,2.22026431718062
"X768",76.7,2.33193277310924
"X769",76.8,2.30801687763713
"X770",76.9,2.29464285714286
"X771",77,2.28205128205128
