"Measured Depth","Gamma-Ray log"
236.3724,10.30103
236.5248,10.79813
236.6772,12.05476
236.8296,13.40035
236.982,12.77349
237.1344,11.116
237.2868,9.478333
237.4392,8.164482
237.5916,7.941757
237.744,7.720924
237.8964,8.360336
238.0488,11.20077
238.2012,10.72359
238.3536,10.62061
238.506,10.96128
238.6584,10.8299
238.8108,11.60468
238.9632,11.30939
239.1156,9.671417
239.268,9.951431
239.4204,9.574226
239.5728,9.707794
239.7252,10.49463
239.8776,11.5584
240.03,12.47154
240.1824,12.41758
240.3348,11.73182
240.4872,11.07823
240.6396,11.23972
240.792,10.80952
240.9444,9.980064
241.0968,9.771828
241.2492,10.31279
241.4016,11.04285
241.554,12.58354
241.7064,12.08696
241.8588,11.11753
242.0112,11.01913
242.1636,12.36726
242.316,14.02489
242.4684,14.93802
242.6208,15.46725
242.7732,15.31548
242.9256,14.84588
243.078,14.0227
243.2304,13.76923
243.3828,13.77451
243.5352,13.82571
243.6876,13.79924
243.84,13.63051
243.9924,13.29789
244.1448,12.4628
244.2972,11.96867
244.4496,13.28303
244.602,14.59016
244.7544,15.1897
244.9068,14.74078
245.0592,13.71469
245.2116,13.58539
245.364,13.68302
245.5164,13.79364
245.6688,14.20471
245.8212,14.64868
245.9736,14.23494
246.126,13.8215
246.2784,12.75288
246.4308,11.26921
246.5832,10.29186
246.7356,9.897469
246.888,10.52518
247.0404,12.38817
247.1928,13.73411
247.3452,13.47672
247.4976,12.13654
247.65,10.83197
247.8024,9.834541
247.9548,10.46471
248.1072,11.83691
248.2596,13.10315
248.412,12.66223
248.5644,11.93596
248.7168,12.07668
248.8692,12.661
249.0216,13.25021
249.174,13.05704
249.3264,13.0878
249.4788,14.64385
249.6312,17.46681
249.7836,19.30699
249.936,21.02251
250.0884,23.41399
250.2408,23.2121
250.3932,21.53257
250.5456,20.06903
250.698,19.10152
250.8504,18.40226
251.0028,17.66602
251.1552,15.87477
251.3076,15.24816
251.46,15.11032
251.6124,14.91952
251.7648,14.13927
251.9172,12.83284
252.0696,12.50684
252.222,13.52799
252.3744,13.9794
252.5268,14.17117
252.6792,13.23067
252.8316,12.05195
252.984,11.03342
253.1364,11.22605
253.2888,11.12349
253.4412,11.01668
253.5936,12.23785
253.746,12.86538
253.8984,13.3331
254.0508,13.2501
254.2032,12.625
254.3556,13.89162
254.508,13.44476
254.6604,12.54153
254.8128,11.38514
254.9652,11.78274
255.1176,13.306
255.27,13.05112
255.4224,12.33685
255.5748,12.59001
255.7272,12.6027
255.8796,13.19925
256.032,13.62178
256.1844,13.81799
256.3368,13.9873
256.4892,14.02851
256.6416,13.70041
256.7939,12.64508
256.9464,12.36544
257.0988,12.50978
257.2512,12.65906
257.4036,12.86131
257.556,12.58527
257.7084,12.47476
257.8608,12.31541
258.0132,12.01587
258.1656,11.8102
258.318,11.8103
258.4704,13.10951
258.6228,15.50862
258.7751,15.86317
258.9276,15.90316
259.08,16.62058
259.2324,16.35257
259.3848,16.17416
259.5372,16.08718
259.6896,15.70093
259.842,14.88715
259.9944,14.6692
260.1468,14.73046
260.2992,14.31664
260.4516,13.77624
260.6039,12.86678
260.7563,12.00376
260.9088,11.49458
261.0612,11.17067
261.2136,11.05021
261.366,10.99946
261.5184,10.91464
261.6708,10.7697
261.8232,10.81196
261.9756,10.92008
262.128,11.21607
262.2804,11.39088
262.4328,10.8293
262.5851,9.984705
262.7375,9.529249
262.89,9.809769
263.0424,10.60994
263.1948,11.13599
263.3472,11.56882
263.4996,11.90294
263.652,12.17305
263.8044,12.66443
263.9568,13.19579
264.1092,13.49241
264.2616,13.26848
264.414,12.26215
264.5663,11.42846
264.7188,11.0392
264.8712,11.05472
265.0236,11.88921
265.176,12.553
265.3284,13.08384
265.4808,13.26546
265.6332,12.91386
265.7856,12.45117
265.938,11.94181
266.0904,11.80583
266.2428,11.79401
266.3952,11.46988
266.5475,11.15407
266.7,10.70429
266.8524,10.60829
267.0048,10.55284
267.1572,12.05768
267.3096,13.00776
267.462,13.42343
267.6144,14.06419
267.7668,14.14532
267.9192,13.94442
268.0716,13.7359
268.224,13.93823
268.3763,14.26192
268.5287,14.5081
268.6812,14.87165
268.8336,15.35994
268.986,16.63788
269.1384,18.73723
269.2908,20.03201
269.4432,20.85624
269.5956,21.35879
269.748,21.75601
269.9004,20.89956
270.0528,19.33584
270.2052,16.08457
270.3575,14.90222
270.5099,13.65415
270.6624,13.27975
270.8148,13.80511
270.9672,14.01001
271.1196,14.00203
271.272,13.88807
271.4244,13.77614
271.5768,13.46828
271.7292,13.11679
271.8816,13.04156
272.034,13.16843
272.1864,13.37306
272.3387,13.51247
272.4911,13.72352
272.6436,14.18221
272.796,14.6169
272.9484,14.718
273.1008,14.92352
273.2532,14.94879
273.4056,14.26931
273.558,13.02273
273.7104,12.96742
273.8628,12.51464
274.0152,12.27781
274.1676,12.21913
274.3199,12.21607
274.4724,12.19663
274.6248,12.29751
274.7772,12.03779
274.9296,11.90058
275.082,12.20878
275.2344,12.59756
275.3868,12.53485
275.5392,12.48305
275.6916,12.34735
275.844,12.34271
275.9964,12.1484
276.1487,11.26826
276.3011,8.814051
276.4536,7.037302
276.606,5.125839
276.7584,3.107188
276.9108,1.505286
277.0632,1.397
277.2156,1.323
277.368,1.28
277.5204,1.11
277.6728,1.027
277.8252,1.366
277.9776,1.387605
278.1299,2.364124
278.2823,5.275139
278.4348,7.91099
278.5872,13.15931
278.7396,15.14542
278.892,15.02894
279.0444,15.42822
279.1968,16.04617
279.3492,17.01038
279.5016,18.37938
279.654,19.9521
279.8064,20.59258
279.9588,21.1805
280.1111,21.40897
280.2635,21.11254
280.416,20.22435
280.5684,19.86548
280.7208,19.3003
280.8732,17.34913
281.0256,14.88706
281.178,13.48552
281.3304,13.07737
281.4828,13.02054
281.6352,13.28373
281.7876,13.85293
281.94,14.29003
282.0923,13.91397
282.2448,13.25686
282.3972,13.2997
282.5496,13.35669
282.702,13.52206
282.8544,13.87413
283.0068,14.27921
283.1592,14.72333
283.3116,15.24408
283.464,15.5898
283.6164,15.69963
283.7688,15.80545
283.9211,15.66482
284.0735,15.27311
284.226,15.05509
284.3784,14.90009
284.5308,14.59031
284.6832,14.20539
284.8356,13.76131
284.988,13.05546
285.1404,13.77455
285.2928,14.57939
285.4452,15.03847
285.5976,15.8672
285.75,17.08109
285.9023,19.52328
286.0547,20.80473
286.2072,22.47581
286.3596,23.23939
286.512,23.37578
286.6644,23.16714
286.8168,22.57065
286.9692,20.09069
287.1216,17.89742
287.274,15.84971
287.4264,14.67929
287.5788,14.52575
287.7312,14.70861
287.8835,14.84828
288.0359,14.99027
288.1884,14.90218
288.3408,14.09485
288.4932,13.57151
288.6456,13.46801
288.798,13.82549
288.9504,13.68087
289.1028,14.0166
289.2552,15.34606
289.4076,16.12107
289.56,15.97484
289.7124,15.35492
289.8647,15.23612
290.0172,15.78197
290.1696,16.46367
290.322,17.18838
290.4744,18.40802
290.6268,19.73421
290.7792,20.62135
290.9316,21.45906
291.084,23.06267
291.2364,23.90746
291.3888,23.25488
291.5412,22.28197
291.6935,20.75533
291.8459,19.52916
291.9984,19.42462
292.1508,19.80827
292.3032,19.93819
292.4556,20.85643
292.608,21.1625
292.7604,20.03856
292.9128,18.57198
293.0652,17.16699
293.2176,15.19254
293.37,14.43524
293.5224,13.58902
293.6747,12.9642
293.8271,13.03205
293.9796,12.9764
294.132,13.99806
294.2844,13.45971
294.4368,12.92745
294.5892,13.05515
294.7416,13.95112
294.894,14.38805
295.0464,13.70114
295.1988,13.25039
295.3512,13.08998
295.5036,13.03113
295.6559,12.54034
295.8083,12.07961
295.9608,11.92306
296.1132,12.36692
296.2656,13.8689
296.418,14.62781
296.5704,14.9414
296.7228,14.74257
296.8752,14.13017
297.0276,13.58708
297.18,13.23249
297.3324,13.07826
297.4848,13.39423
297.6371,13.83543
297.7896,15.01547
297.942,16.39149
298.0944,17.43611
298.2468,18.0741
298.3992,18.58896
298.5516,19.17207
298.704,19.36077
298.8564,18.27035
299.0088,16.71562
299.1612,15.53865
299.3136,15.19908
299.4659,14.61316
299.6183,14.23954
299.7708,13.40071
299.9232,12.62044
300.0756,12.94287
300.228,13.67803
300.3804,14.13887
300.5328,14.18148
300.6852,14.00314
300.8376,13.13168
300.99,12.05835
301.1424,11.44129
301.2948,11.59114
301.4471,12.6961
301.5995,12.94345
301.752,12.32812
301.9044,12.2317
302.0568,12.57587
302.2092,13.42288
302.3616,13.76869
302.514,13.54957
302.6664,13.50443
302.8188,13.53994
302.9712,14.21526
303.1236,13.86594
303.276,12.6199
303.4283,11.84453
303.5807,11.69141
303.7332,12.3159
303.8856,12.56951
304.038,12.83466
304.1904,13.36484
304.3428,13.57816
304.4952,13.50112
304.6476,13.65824
304.8,13.49689
304.9524,13.51144
305.1048,13.7922
305.2572,13.91288
305.4095,13.48768
305.562,12.97227
305.7144,12.90654
