"","depth_mm","K"
"X401",47.5,66.2159090909091
"X402",47.6,67.561797752809
"X403",47.7,68.0408163265306
"X404",47.8,69.0967741935484
"X405",47.9,75.2604166666667
"X406",48,80.8494623655914
"X407",48.1,82.2872340425532
"X408",48.2,73.0294117647059
"X409",48.3,70.6831683168317
"X410",48.4,68.4757281553398
"X411",48.5,72.43
"X412",48.6,65.7058823529412
"X413",48.7,67.0909090909091
"X414",48.8,66.1752577319588
"X415",48.9,67.639175257732
"X416",49,71.51
"X417",49.1,70.0776699029126
"X418",49.2,68.8108108108108
"X419",49.3,76.4660194174757
"X420",49.4,75.6065573770492
"X421",49.5,76.7203389830509
"X422",49.6,84.1869918699187
"X423",49.7,86.856
"X424",49.8,93.6029411764706
"X425",49.9,94.6402877697842
"X426",50,96.0152671755725
"X427",50.1,88.937984496124
"X428",50.2,86.192
"X429",50.3,88.0396825396825
"X430",50.4,87.6131386861314
"X431",50.5,90.0354609929078
"X432",50.6,88.7913669064748
"X433",50.7,84.0352112676056
"X434",50.8,94.28125
"X435",50.9,91.7096774193548
"X436",51,94.0645161290323
"X437",51.1,87.952
"X438",51.2,89.453781512605
"X439",51.3,90.1379310344828
"X440",51.4,91.6486486486486
"X441",51.5,88.3421052631579
"X442",51.6,80.1932773109244
"X443",51.7,77.719298245614
"X444",51.8,85.873786407767
"X445",51.9,87.5510204081633
"X446",52,86.2886597938144
"X447",52.1,81.5392156862745
"X448",52.2,94.7444444444444
"X449",52.3,97.0348837209302
"X450",52.4,96.7831325301205
"X451",52.5,92.679012345679
"X452",52.6,87.1948051948052
"X453",52.7,95.4054054054054
"X454",52.8,101.157142857143
"X455",52.9,108.953846153846
"X456",53,113.301587301587
"X457",53.1,117.593220338983
"X458",53.2,123.339285714286
"X459",53.3,116.066666666667
"X460",53.4,119.789473684211
"X461",53.5,121.218181818182
"X462",53.6,117.611111111111
"X463",53.7,114.555555555556
"X464",53.8,120.056603773585
"X465",53.9,116.684210526316
"X466",54,122.666666666667
"X467",54.1,123.351851851852
"X468",54.2,115.018181818182
"X469",54.3,130.942307692308
"X470",54.4,131.22
"X471",54.5,114.339622641509
"X472",54.6,117.384615384615
"X473",54.7,111.884615384615
"X474",54.8,107.962264150943
"X475",54.9,111.277777777778
"X476",55,111.620689655172
"X477",55.1,99.8421052631579
"X478",55.2,84.5454545454545
"X479",55.3,69.4912280701754
"X480",55.4,65.0701754385965
"X481",55.5,68.5833333333333
"X482",55.6,64.265306122449
"X483",55.7,71.775
"X484",55.8,75.5625
"X485",55.9,81.0714285714286
"X486",56,72.0294117647059
"X487",56.1,70.6909090909091
"X488",56.2,74.9375
"X489",56.3,77.0377358490566
"X490",56.4,83.6086956521739
"X491",56.5,83.4782608695652
"X492",56.6,67.2075471698113
"X493",56.7,59.2456140350877
"X494",56.8,65.8775510204082
"X495",56.9,59.1136363636364
"X496",57,50.12
"X497",57.1,41.5106382978723
"X498",57.2,38.0666666666667
"X499",57.3,45.1190476190476
"X500",57.4,46.0555555555556
"X501",57.5,55.84375
"X502",57.6,50.2894736842105
"X503",57.7,45.2790697674419
"X504",57.8,56.0540540540541
"X505",57.9,54.7714285714286
"X506",58,45.4864864864865
"X507",58.1,52.219512195122
"X508",58.2,58.1320754716981
"X509",58.3,65.6571428571429
"X510",58.4,52.7021276595745
"X511",58.5,60.3829787234043
"X512",58.6,53.8888888888889
"X513",58.7,51.1272727272727
"X514",58.8,55.8085106382979
"X515",58.9,62.2142857142857
"X516",59,70.0149253731343
"X517",59.1,68.4823529411765
"X518",59.2,75.3298969072165
"X519",59.3,74.2752293577982
"X520",59.4,76.4336283185841
"X521",59.5,78.6756756756757
"X522",59.6,80.5084745762712
"X523",59.7,77.0409836065574
"X524",59.8,66.0298507462687
"X525",59.9,45.2265625
"X526",60,25.5853658536585
"X527",60.1,96.8333333333333
"X528",60.2,100.912621359223
"X529",60.3,100.950495049505
"X530",60.4,95.5392156862745
"X531",60.5,96.8080808080808
"X532",60.6,91.9607843137255
"X533",60.7,84.9142857142857
"X534",60.8,79.8989898989899
"X535",60.9,74.029702970297
"X536",61,79.765306122449
"X537",61.1,67.9509803921569
"X538",61.2,69.045871559633
"X539",61.3,75.1682242990654
"X540",61.4,74.2476190476191
"X541",61.5,75.6153846153846
"X542",61.6,72.0917431192661
"X543",61.7,74.3928571428571
"X544",61.8,75.2416666666667
"X545",61.9,72.25
"X546",62,75.9140625
"X547",62.1,72.6934306569343
"X548",62.2,71.5217391304348
"X549",62.3,70.1059602649007
"X550",62.4,72.6602564102564
"X551",62.5,75.0653594771242
"X552",62.6,67.4727272727273
"X553",62.7,63.6167664670659
"X554",62.8,69.0124223602485
"X555",62.9,70.5679012345679
"X556",63,67.2046783625731
"X557",63.1,62.9759036144578
"X558",63.2,62.9367088607595
"X559",63.3,61.4013157894737
"X560",63.4,65.7218543046358
"X561",63.5,66.8098591549296
"X562",63.6,57.843537414966
"X563",63.7,62.042735042735
"X564",63.8,62.69
"X565",63.9,60.8421052631579
"X566",64,68.7802197802198
"X567",64.1,70.620253164557
"X568",64.2,65.8767123287671
"X569",64.3,57.038961038961
"X570",64.4,58.6086956521739
"X571",64.5,56.4583333333333
"X572",64.6,55.5972222222222
"X573",64.7,58.5890410958904
"X574",64.8,64.1234567901235
"X575",64.9,65.2714285714286
"X576",65,61.6029411764706
"X577",65.1,66.1527777777778
"X578",65.2,71.7796610169491
"X579",65.3,69.7377049180328
"X580",65.4,71.5192307692308
"X581",65.5,79.1428571428571
"X582",65.6,81.2826086956522
"X583",65.7,79.0909090909091
"X584",65.8,76.219512195122
"X585",65.9,61.1702127659574
"X586",66,75.0243902439024
"X587",66.1,80.1463414634146
"X588",66.2,72.0847457627119
"X589",66.3,75.037037037037
"X590",66.4,75.1111111111111
"X591",66.5,99.65625
"X592",66.6,84.7368421052632
"X593",66.7,73.0238095238095
"X594",66.8,70.9024390243902
"X595",66.9,64.7959183673469
"X596",67,55.3275862068966
"X597",67.1,50.7878787878788
"X598",67.2,34.3529411764706
"X599",67.3,38.8518518518519
"X600",67.4,44.3050847457627
"X601",67.5,67.2549019607843
"X602",67.6,51.8
"X603",67.7,46.2926829268293
"X604",67.8,44.4864864864865
"X605",67.9,56.25
"X606",68,49
"X607",68.1,44.8787878787879
"X608",68.2,36.2424242424242
"X609",68.3,49.6571428571429
"X610",68.4,41.2972972972973
"X611",68.5,53.3714285714286
"X612",68.6,57.0689655172414
"X613",68.7,41.2666666666667
"X614",68.8,40.7142857142857
"X615",68.9,35.1764705882353
"X616",69,32.7777777777778
"X617",69.1,35.3076923076923
"X618",69.2,37.6842105263158
"X619",69.3,40.4915254237288
"X620",69.4,33.8214285714286
"X621",69.5,35.0943396226415
"X622",69.6,29.1964285714286
"X623",69.7,28.2884615384615
"X624",69.8,37.4318181818182
"X625",69.9,27.4509803921569
"X626",70,25.8076923076923
"X627",70.1,26.1538461538462
"X628",70.2,35.9090909090909
"X629",70.3,35.4545454545455
"X630",70.4,40.9183673469388
"X631",70.5,42.9180327868852
"X632",70.6,44.7413793103448
"X633",70.7,41.7887323943662
"X634",70.8,42.2982456140351
"X635",70.9,35.5
"X636",71,33.8666666666667
"X637",71.1,30.8823529411765
"X638",71.2,30.3174603174603
"X639",71.3,30.8245614035088
"X640",71.4,33.4745762711864
"X641",71.5,32.1428571428571
"X642",71.6,29.5806451612903
"X643",71.7,31.2647058823529
"X644",71.8,31.5555555555556
"X645",71.9,32.3787878787879
"X646",72,33.1388888888889
"X647",72.1,36.4457831325301
"X648",72.2,36.6197183098592
"X649",72.3,34.0166666666667
"X650",72.4,44.9574468085106
"X651",72.5,36.2363636363636
"X652",72.6,43.16
"X653",72.7,43.6071428571429
"X654",72.8,44.2586206896552
"X655",72.9,54.4716981132075
"X656",73,44.8235294117647
"X657",73.1,41.6197183098592
"X658",73.2,42.9876543209877
"X659",73.3,39.7282608695652
"X660",73.4,45.2048192771084
"X661",73.5,37.6703296703297
"X662",73.6,37.8333333333333
"X663",73.7,38.7244897959184
"X664",73.8,32.9651162790698
"X665",73.9,33.3768115942029
"X666",74,31.3157894736842
"X667",74.1,30.9782608695652
"X668",74.2,30.1495327102804
"X669",74.3,31.4727272727273
"X670",74.4,30.4260869565217
"X671",74.5,40.8359375
"X672",74.6,44.3103448275862
"X673",74.7,50.3464052287582
"X674",74.8,52.4649681528662
"X675",74.9,54.5189873417722
"X676",75,52.5748502994012
"X677",75.1,53.1
"X678",75.2,49.4705882352941
"X679",75.3,51.4261363636364
"X680",75.4,51.1073446327684
"X681",75.5,51.8166666666667
"X682",75.6,54.0842105263158
"X683",75.7,53.4232804232804
"X684",75.8,56.4742268041237
"X685",75.9,54.015306122449
"X686",76,53.4285714285714
"X687",76.1,46.0378378378378
"X688",76.2,47.246835443038
"X689",76.3,48.4583333333333
"X690",76.4,49.530303030303
"X691",76.5,59.6610169491525
"X692",76.6,68.5961538461538
"X693",76.7,60.9587628865979
"X694",76.8,52.2815533980583
"X695",76.9,54.0108695652174
"X696",77,52.3529411764706
"X697",77.1,47.9450549450549
"X698",77.2,50.4065934065934
"X699",77.3,51.0344827586207
"X700",77.4,49.9024390243902
"X701",77.5,49.6849315068493
"X702",77.6,50.2941176470588
"X703",77.7,49.6515151515151
"X704",77.8,41.758064516129
"X705",77.9,48.3877551020408
"X706",78,36.8444444444444
"X707",78.1,22.2340425531915
"X708",78.2,26.5
"X709",78.3,30
"X710",78.4,16.5217391304348
"X711",78.5,48
"X712",78.6,40.4
"X713",78.7,35.5555555555556
"X714",78.8,34.1111111111111
"X715",78.9,42.0833333333333
"X716",79,41.9285714285714
"X717",79.1,63.5384615384615
"X718",79.2,49.7142857142857
"X719",79.3,66.3571428571429
"X720",79.4,76.4444444444444
"X721",79.5,80.4375
"X722",79.6,65.8333333333333
"X723",79.7,59.2222222222222
"X724",79.8,64.9090909090909
"X725",79.9,59.1538461538462
"X726",80,102.538461538462
"X727",80.1,130
"X728",80.2,141.2
"X729",80.3,153.25
"X730",80.4,88.3636363636364
"X731",80.5,135
"X732",80.6,123.666666666667
"X733",80.7,84.8571428571429
"X734",80.8,87.4
"X735",80.9,81.6
"X736",81,64.3333333333333
"X737",81.1,67.1666666666667
"X738",81.2,53.5
"X739",81.3,62.25
"X740",81.4,83.8
"X741",81.5,75.3333333333333
"X742",81.6,85.125
"X743",81.7,68.125
"X744",81.8,44.2
"X745",81.9,42.7692307692308
"X746",82,36.2666666666667
"X747",82.1,32.5238095238095
"X748",82.2,38.4210526315789
"X749",82.3,32.84
"X750",82.4,41.4736842105263
"X751",82.5,35.0434782608696
"X752",82.6,25.5454545454545
"X753",82.7,28.969696969697
"X754",82.8,32.5151515151515
"X755",82.9,34.1944444444444
"X756",83,30.35
"X757",83.1,28.6470588235294
"X758",83.2,43.0769230769231
"X759",83.3,47.5223880597015
"X760",83.4,48.4647887323944
"X761",83.5,45.05
"X762",83.6,49.3536585365854
"X763",83.7,44.4042553191489
"X764",83.8,45.1777777777778
"X765",83.9,38
"X766",84,35.8818181818182
"X767",84.1,37.1913043478261
"X768",84.2,39.9579831932773
"X769",84.3,45.4298245614035
"X770",84.4,43.4833333333333
"X771",84.5,45.1904761904762
"X772",84.6,42.3475177304965
"X773",84.7,40.0320512820513
"X774",84.8,40.319018404908
"X775",84.9,42.7093023255814
"X776",85,45.438202247191
"X777",85.1,46.0540540540541
"X778",85.2,48.9021739130435
"X779",85.3,53.5208333333333
"X780",85.4,52.7918781725888
"X781",85.5,51.6446700507614
"X782",85.6,56.8994974874372
"X783",85.7,55.5699481865285
"X784",85.8,50.5885416666667
"X785",85.9,48.7569060773481
"X786",86,48.0294117647059
"X787",86.1,50.4093567251462
"X788",86.2,52.6413043478261
"X789",86.3,55.2371134020619
"X790",86.4,57.2102564102564
"X791",86.5,62.8316831683168
"X792",86.6,63.0696517412935
"X793",86.7,57.8442211055276
"X794",86.8,60.9947643979058
"X795",86.9,59.9371727748691
"X796",87,59.9476439790576
"X797",87.1,58.0812182741117
"X798",87.2,61.2030456852792
"X799",87.3,56.4343434343434
"X800",87.4,57.9014778325123
"X801",87.5,57.4427860696517
"X802",87.6,55.020202020202
"X803",87.7,52.2146596858639
"X804",87.8,49.9796954314721
"X805",87.9,50.4
"X806",88,51.3417085427136
"X807",88.1,53.9950248756219
"X808",88.2,53.8989898989899
"X809",88.3,52.6938775510204
"X810",88.4,52.1675126903553
"X811",88.5,48.885
"X812",88.6,50.95
"X813",88.7,48.1608040201005
"X814",88.8,42.9183673469388
"X815",88.9,45.957671957672
"X816",89,45.1612903225806
"X817",89.1,45.9833333333333
"X818",89.2,49.8728323699422
"X819",89.3,46.7639751552795
"X820",89.4,44.3333333333333
"X821",89.5,50.9366197183099
"X822",89.6,47.8297872340426
"X823",89.7,50.1798561151079
"X824",89.8,51.2714285714286
"X825",89.9,46.0148148148148
"X826",90,47.936170212766
"X827",90.1,43.9078014184397
"X828",90.2,42.1526717557252
