"Depth..m.","Gamma.Ray"
275.3868,10.9976
275.5392,10.5126
275.6916,10.5564
275.844,11.2562
275.9964,11.8632
276.1488,11.5443
276.3012,10.748
276.4536,9.9771
276.606,9.4374
276.7584,9.6384
276.9108,10.2014
277.0632,10.5267
277.2156,10.4354
277.368,9.507
277.5204,8.9378
277.6728,9.3881
277.8252,9.7205
277.9776,9.5139
278.13,8.9986
278.2824,8.7077
278.4348,9.2859
278.5872,10.6205
278.7396,12.3226
278.892,12.9107
279.0444,12.1779
279.1968,11.0104
279.3492,10.0478
279.5016,9.67
279.654,10.3003
279.8064,10.9581
279.9588,10.8411
280.1112,10.3808
280.2636,9.9468
280.416,9.82
280.5684,10.2232
280.7208,10.3301
280.8732,10.0024
281.0256,9.7193
281.178,9.6988
281.3304,9.8943
281.4828,9.9215
281.6352,9.5698
281.7876,9.3551
281.94,9.8497
282.0924,10.5198
282.2448,11.0452
282.3972,11.206
282.5496,10.9833
282.702,10.5819
282.8544,10.2295
283.0068,9.8128
283.1592,9.4853
283.3116,9.5238
283.464,9.7351
283.6164,10.1118
283.7688,10.4547
283.9212,10.3782
284.0736,10.0624
284.226,9.5777
284.3784,8.9931
284.5308,8.8876
284.6832,9.2685
284.8356,9.7484
284.988,10.1551
285.1404,10.5894
285.2928,11.1148
285.4452,11.5256
285.5976,11.4255
285.75,10.905
285.9024,10.3972
286.0548,10.1787
286.2072,10.4003
286.3596,10.8332
286.512,10.7815
286.6644,9.9739
286.8168,8.9667
286.9692,8.3783
287.1216,8.6478
287.274,9.5338
287.4264,10.5491
287.5788,11.0403
287.7312,10.5486
287.8836,9.5668
288.036,8.8012
288.1884,8.2616
288.3408,7.8824
288.4932,7.6909
288.6456,8.1961
288.798,9.103
288.9504,9.5844
289.1028,9.7122
289.2552,9.6658
289.4076,9.4066
289.56,8.9933
289.7124,8.5097
289.8648,8.0104
290.0172,7.8415
290.1696,8.2243
290.322,9.431
290.4744,10.8817
290.6268,11.7172
290.7792,11.5568
290.9316,10.662
291.084,10.3652
291.2364,10.7653
291.3888,10.8971
291.5412,10.6221
291.6936,10.1782
291.846,10.0496
291.9984,10.8676
292.1508,11.5354
292.3032,10.9265
292.4556,9.7088
292.608,8.9344
292.7604,8.9182
292.9128,9.129
293.0652,9.1745
293.2176,9.0395
293.37,9.224
293.5224,10.1492
293.6748,11.0213
293.8272,10.865
293.9796,10.156
294.132,9.9624
294.2844,10.1107
294.4368,9.8269
294.5892,9.3737
294.7416,9.4317
294.894,9.9296
295.0464,10.4707
295.1988,10.5776
295.3512,10.1277
295.5036,9.7462
295.656,9.5481
295.8084,9.5198
295.9608,9.6226
296.1132,9.7297
296.2656,9.8433
296.418,10.0072
296.5704,10.3469
296.7228,10.7284
296.8752,10.8258
297.0276,10.7214
297.18,10.5821
297.3324,10.7674
297.4848,11.0162
297.6372,10.369
297.7896,9.3129
297.942,9.1759
298.0944,10.187
298.2468,11.3353
298.3992,12.0502
298.5516,12.0867
298.704,11.5975
298.8564,10.515
299.0088,9.2628
299.1612,8.9958
299.3136,9.7533
299.466,10.9391
299.6184,11.6263
299.7708,11.4707
299.9232,10.3778
300.0756,9.2885
300.228,9.5521
300.3804,10.216
300.5328,10.8931
300.6852,11.3944
300.8376,12.0092
300.99,11.9305
301.1424,10.2765
301.2948,9.211
301.4472,9.3121
301.5996,10.136
301.752,11.5237
301.9044,12.7038
302.0568,13.1549
302.2092,13.3549
302.3616,14.3875
302.514,16.0005
302.6664,18.0672
302.8188,19.6302
302.9712,18.0332
303.1236,14.7989
303.276,12.7612
303.4284,12.1963
303.5808,12.117
303.7332,11.8899
303.8856,12.1809
304.038,13.1514
304.1904,14.0904
304.3428,14.586
304.4952,14.1045
304.6476,12.829
304.8,12.284
304.9524,12.9138
305.1048,13.4926
305.2572,12.7649
305.4096,11.1846
305.562,10.3189
305.7144,11.107
305.8668,11.5903
306.0192,11.3055
306.1716,11.3351
306.324,12.5032
306.4764,14.579
306.6288,16.1292
306.7812,15.7552
306.9336,14.3818
307.086,12.763
307.2384,11.5431
307.3908,11.1188
307.5432,11.6794
307.6956,12.7391
307.848,13.9662
308.0004,14.6539
308.1528,14.6933
308.3052,14.3998
308.4576,14.1991
308.61,14.2042
308.7624,14.1788
308.9148,13.7102
309.0672,13.2184
309.2196,13.3755
309.372,13.7649
309.5244,14.3624
309.6768,15.7874
309.8292,16.6711
309.9816,15.1986
310.134,14.1435
310.2864,13.9871
310.4388,13.5929
310.5912,13.4603
310.7436,14.8347
310.896,17.1238
311.0484,18.3941
311.2008,18.0609
311.3532,16.3699
311.5056,15.0541
311.658,14.1277
311.8104,14.1755
311.9628,12.8726
312.1152,11.9957
312.2676,12.8614
312.42,13.3504
312.5724,12.0214
312.7248,11.371
312.8772,12.0257
313.0296,13.1024
313.182,14.1803
313.3344,14.5587
313.4868,14.7492
313.6392,15.378
313.7916,15.2128
313.944,14.4328
314.0964,13.6404
314.2488,12.9019
314.4012,12.5795
314.5536,12.9285
314.706,14.205
314.8584,15.1769
315.0108,15.624
315.1632,14.5662
315.3156,13.6247
315.468,13.0643
315.6204,13.5049
315.7728,14.608
315.9252,15.7986
316.0776,16.811
316.23,17.209
316.3824,16.3375
316.5348,15.9769
316.6872,16.0078
316.8396,16.0475
316.992,15.8184
317.1444,14.9199
317.2968,13.9929
317.4492,13.3605
317.6016,13.4795
317.754,13.9815
317.9064,14.8812
318.0588,15.9231
318.2112,15.1325
318.3636,13.8318
318.516,12.8988
318.6684,12.8269
318.8208,13.0698
318.9732,13.6017
319.1256,13.2901
319.278,11.7192
319.4304,11.836
319.5828,11.81
319.7352,11.3232
319.8876,11.1563
320.04,11.5352
320.1924,11.9792
320.3448,12.2635
320.4972,12.0578
320.6496,12.8527
320.802,13.58
320.9544,13.7528
321.1068,13.9747
321.2592,14.6081
321.4116,14.3929
321.564,14.1024
321.7164,14.5711
321.8688,15.6739
322.0212,16.1515
322.1736,15.6497
322.326,14.956
322.4784,14.4963
322.6308,14.2756
322.7832,14.9202
322.9356,16.0121
323.088,17.0909
323.2404,17.0668
323.3928,15.5139
323.5452,14.5597
323.6976,14.3089
323.85,13.588
324.0024,12.3321
324.1548,11.2063
324.3072,10.1181
324.4596,10.3845
324.612,11.9087
324.7644,13.1714
324.9168,13.6258
325.0692,14.1622
325.2216,14.9476
325.374,16.5004
325.5264,17.6833
325.6788,17.5798
325.8312,16.0008
325.9836,14.6202
326.136,13.7745
326.2884,13.2012
326.4408,12.7574
326.5932,13.052
326.7456,13.661
326.898,13.9919
327.0504,12.9035
327.2028,10.8098
327.3552,9.5453
327.5076,9.2123
327.66,9.4069
327.8124,9.6566
327.9648,10.4349
