DEPTH_WMSF,HCGR
199.7964,22.3055
199.9488,21.145
200.1012,19.8099
200.2536,20.0235
200.406,21.5864
200.5584,23.4291
200.7108,24.5075
200.8632,23.3938
201.0156,21.3733
201.168,20.3601
201.3204,19.3354
201.4728,18.9984
201.6252,18.3578
201.7776,17.8432
201.93,16.6459
202.0824,14.6042
202.2348,14.9605
202.3872,15.9101
202.5396,15.7056
202.692,15.2416
202.8444,14.8621
202.9968,15.3878
203.1492,15.8571
203.3016,15.6655
203.454,16.2277
203.6064,17.1317
203.7588,18.169
203.9112,18.7902
204.0636,17.0633
204.216,17.5586
204.3684,18.7393
204.5208,21.798
204.6732,22.2873
204.8256,23.0626
204.978,24.6948
205.1304,25.4174
205.2828,25.8618
205.4352,25.886
205.5876,25.1676
205.74,25.305
205.8924,25.5961
206.0448,27.1979
206.1972,25.6915
206.3496,25.0573
206.502,22.9307
206.6544,21.5361
206.8068,21.9803
206.9592,22.6254
207.1116,22.7894
207.264,20.7071
207.4164,20.4555
207.5688,19.7076
207.7212,19.6543
207.8736,18.8993
208.026,18.5725
208.1784,20.0403
208.3308,21.7816
208.4832,21.5709
208.6356,21.6609
208.788,22.5348
208.9404,24.005
209.0928,23.7898
209.2452,22.5763
209.3976,19.7387
209.55,19.6109
209.7024,18.5536
209.8548,17.6566
210.0072,15.9501
210.1596,15.425
210.312,16.4042
210.4644,17.1641
210.6168,16.5103
210.7692,16.3784
210.9216,17.2267
211.074,18.1183
211.2264,18.2097
211.3788,18.3021
211.5312,17.8337
211.6836,17.7854
211.836,17.5906
211.9884,17.3826
212.1408,16.8211
212.2932,17.8254
212.4456,17.7431
212.598,17.3233
212.7504,17.4636
212.9028,18.0479
213.0552,19.5466
213.2076,21.4381
213.36,22.891
213.5124,22.9104
213.6648,22.8355
213.8172,23.7526
213.9696,26.4379
214.122,29.0065
214.2744,28.9492
214.4268,27.6309
214.5792,27.7499
214.7316,29.533
214.884,30.9044
215.0364,30.4481
215.1888,29.1235
215.3412,27.1592
215.4936,26.6715
215.646,26.3513
215.7984,26.0887
215.9508,26.9497
216.1032,27.9679
216.2556,26.9174
216.408,25.0664
216.5604,23.9577
216.7128,23.061
216.8652,21.9403
217.0176,21.6311
217.17,23.0363
217.3224,24.5356
217.4748,24.0756
217.6272,22.3196
217.7796,21.0703
217.932,21.6993
218.0844,24.4039
218.2368,26.4813
218.3892,27.0907
218.5416,28.321
218.694,29.8813
218.8464,29.3077
218.9988,26.8054
219.1512,25.1274
219.3036,24.1884
219.456,23.2645
